view_id,assets,view_type,q_expected_return,prior_view_return,posterior_view_return,posterior_minus_prior_view,remaining_gap_to_q,pull_to_q,transmission_flag,confidence_score,omega,status
20260430_6m_ACTIVE_IWM,IWM vs ACWI,active,-0.050629095939379684,-0.0006461333222415391,-0.0045652627984204205,-0.003919129476178881,-0.046063833140959264,0.07840930731134955,Aligned,0.6673271528846535,0.00580730969541377,Candidate
20260430_6m_ACTIVE_GLD,GLD vs DBC,active,0.09170577401228146,0.0054304337783128475,0.011064934729437793,0.005634500951124946,0.08064083928284366,0.06530835967548594,Aligned,0.6585060158059922,0.03170516281005636,Candidate
20260430_6m_ACTIVE_XLE,XLE vs ACWI,active,-0.08219362958724927,-0.009173174115288125,-0.012573621009499382,-0.003400446894211257,-0.06962000857774989,0.04656841527805838,Aligned,0.5550416110426356,0.06156644925525005,Candidate
20260430_6m_ACTIVE_DBC,DBC vs GSMIF_SAMPLE_POLICY,active,-0.04277725514168833,-0.008150731205291206,-0.010483386031323132,-0.002332654826031927,-0.03229386911036519,0.06736612748991515,Aligned,0.538490151286978,0.026193035169461965,Candidate
20260430_6m_ACTIVE_XLU,XLU vs ACWI,active,0.06477435504109685,-0.005907322533165747,-0.00286113145523806,0.003046191077927687,0.06763548649633491,0.04309732284901087,Aligned,0.49060030664638454,0.022920275987111414,Candidate
20260430_6m_ACTIVE_XLV,XLV vs ACWI,active,0.04083180398162775,-0.007273338289477668,-0.00443529688320567,0.002838041406271998,0.04526710086483342,0.05899663263186483,Aligned,0.4897319128183061,0.01585555049804664,Candidate
20260430_6m_ACTIVE_XLP,XLP vs ACWI,active,0.041281304213641956,-0.00789537675788155,-0.005007223640447964,0.0028881531174335864,0.04628852785408992,0.05873013510419735,Aligned,0.4796472469982973,0.015865151094536914,Candidate
20260430_6m_ACTIVE_SOXX,SOXX vs ACWI,active,0.03568958516615728,0.008760703317050401,0.0077968303751116165,-0.000963872941938785,0.027892754791045662,-0.03579327754266755,Opposite,0.46969224699872375,0.031110583016164362,Candidate
20260430_6m_ACTIVE_USMV,USMV vs ACWI,active,0.024138307169980097,-0.006611780982458723,-0.004435880543434145,0.0021759004390245786,0.028574187713414242,0.07076078703377654,Aligned,0.4654707192581485,0.008738965754941368,Candidate
20260430_6m_ACTIVE_XLK,XLK vs ACWI,active,0.02496348951348517,9.619286862414672e-06,0.0007101498043762151,0.0007005305175138005,0.024253339709108954,0.028073020784023288,Aligned,0.45832202831232716,0.012921122368446834,Candidate
