ticker,ACWI,AGG,DBC,HYG,BIL,SPY,EEM,EFA,EWJ,EWU,EWL,EPP,XLK,SOXX,XLE,XLB,XLI,XLY,XLP,XLV,XLU,VNQ,XHB,SHY,IEF,TLT,TIP,LQD,EMB,GLD,USO,CPER,CORN,WEAT,IWM,MTUM,QUAL,VLUE,USMV,SPHB
ACWI,0.011123700156863193,0.0027330196926673178,0.0011558589886213916,0.003892507137834023,6.9718958614418e-05,0.009142539632745823,0.008070313000949646,0.008360567394487718,0.007272908137828059,0.006714993965810911,0.00813858953311224,0.008608584532668462,0.011418720768437782,0.016576633822525784,0.004319912485719969,0.009443870332870597,0.009709382101159942,0.010867480198507974,0.005027020095232946,0.005519731909932912,0.006090338284188748,0.0097133299413323,0.012674316308935082,0.00059355303671038,0.0028345571958549617,0.005536966468654524,0.0026643756767060073,0.004559167758273634,0.005382069906358157,0.0027616168534679865,-0.0005250653232355966,0.005682345722908882,-0.0008377220664397926,-7.01528188965694e-05,0.010452156738355629,0.009514140648133863,0.009443147630530009,0.009834069220384567,0.00613939371243787,0.013272038938223265
AGG,0.0027330196926673178,0.0020854964412390974,-0.0005441760613500687,0.001537072251134256,3.3369378704584204e-05,0.002542745240643221,0.0029036881473891523,0.003057213097526291,0.0028928011679533513,0.0023887629198164864,0.0032822272545872558,0.0031318143959003474,0.0031698914025004785,0.004834326505097708,0.0005159085823514379,0.0027728034215034206,0.0025522839771448575,0.0030270709798675666,0.0016476582701358921,0.00197828662109769,0.0021427927019979373,0.0035581731334040547,0.0048273120014025415,0.0004504114301098857,0.001925009675640159,0.0035488811635030777,0.001357947106820748,0.002448847612455022,0.0022715838010522226,0.0016553527838845728,-0.0018973544336428414,0.0018107638235657642,-0.0010161637627312517,-0.0007922331341598966,0.0029803613696343443,0.0020632265065364656,0.002786649887472001,0.002796438391941238,0.0020444065203886496,0.0038388158806594605
DBC,0.0011558589886213916,-0.0005441760613500687,0.012526795863378393,0.0004716299255307895,-8.852303777058171e-05,0.0011413238326273127,0.0018759112580770236,0.0009948058833242873,1.4308017313499315e-06,0.0021747684634222824,-3.300666523558249e-05,0.002033893927518994,0.00021045828073711678,0.002080392715614885,0.011038295741631477,0.002883159821439932,0.0015164174910064613,-0.0005600802315507402,0.0012339179636324722,0.0005770487834163866,0.002045421040245272,0.001323048413369777,-0.001908571590109436,-0.0002501411153104899,-0.0008826170118813649,-0.001556356244641314,0.00019879640334594117,-0.00033423076112134323,-1.417925497825307e-05,-0.00019843528404399672,0.019666064619530188,0.0037158511397039724,0.004011374806096089,0.005665607227444923,0.001428991296385313,0.0009542601040791098,0.0007272442669764805,0.003363344920270468,0.0007553785047208027,0.002157187946700523
HYG,0.003892507137834023,0.0015370722511342558,0.0004716299255307894,0.002925054288309587,3.9352614310537496e-05,0.00397920038920583,0.0031107861337305314,0.003902112711313256,0.003499955085582327,0.0031644644000048067,0.0037089474460511814,0.003766918738954285,0.004792632155925251,0.0068811331809619306,0.0027282213249669174,0.0042614370449427,0.004157408998992661,0.004946233160673805,0.0020935813308394402,0.0025393025130297903,0.0026081793917609192,0.004453940249327895,0.006300488065129978,0.00039940361768223614,0.0016446637605416641,0.0027922166889838202,0.0014892345949216953,0.002526682619687819,0.0026523605528753686,0.0010454511137473203,8.49453805617948e-05,0.0024156271809417855,-0.0005060237325723269,-2.6403847757682763e-05,0.004726077334145615,0.0036782789820309545,0.004149748856408334,0.004370519792791658,0.0028172370055159286,0.006012338493793859
BIL,6.9718958614418e-05,3.3369378704584204e-05,-8.852303777058171e-05,3.9352614310537496e-05,1.724948171244683e-05,5.823989216302871e-05,0.00010546004668668315,6.966072804818726e-05,8.349987417760301e-05,3.8929905592429285e-05,3.7358782314791666e-05,6.102253766300214e-05,7.085763999683629e-05,9.711191449268409e-05,-0.00013660332980682113,2.5142257506563853e-05,6.269025725908795e-05,7.689672349228177e-05,-9.092393984892195e-06,-7.017651793024476e-06,1.3160228800158669e-05,2.036641778820842e-05,0.00010343418770890238,2.087832963360889e-05,2.761000980021734e-05,3.718307972482412e-05,1.0253840178473241e-05,4.602716849147162e-05,7.327677942079946e-05,7.551439024102262e-05,-0.0001259645197682067,7.205379754383614e-05,-0.00010229019212553415,-0.00011292734951595674,6.924534322228426e-05,9.939903369396772e-05,6.498283752342265e-05,4.476335098875073e-05,2.5834479080684117e-05,6.333049139295663e-05
SPY,0.009142539632745823,0.002542745240643221,0.0011413238326273124,0.00397920038920583,5.82398921630287e-05,0.01240180494201631,0.0070615779267961575,0.007746571251271326,0.006698382966016116,0.005973799057619619,0.007681942554964278,0.007853537749892012,0.012820028814351394,0.017342966119630876,0.00440988344840078,0.009214272864597332,0.01000790593256897,0.01209332889058249,0.0048371583977990604,0.005729241965640508,0.006066554392696141,0.009922954465829997,0.012821163699610744,0.0004974319219774567,0.002608225812401265,0.0052098367761439935,0.002660249090106919,0.004382388657226534,0.005149012688864468,0.001516924027168951,0.00019064395913513457,0.004627214293239956,-0.0008853884983035829,-8.485431797635979e-05,0.011034138385082576,0.010469523372498636,0.01011141632863454,0.01001987355171051,0.00646473160587718,0.013794419763395831
EEM,0.008070313000949647,0.0029036881473891523,0.0018759112580770234,0.003110786133730532,0.00010546004668668315,0.007061577926796158,0.01527597440280474,0.008684896915337048,0.008039260957021298,0.007302537335422518,0.0075641216903379795,0.009763547312956176,0.008977403097407912,0.01705927344979078,0.0032395053814973664,0.008435127372015943,0.008096886440222403,0.007779878314617569,0.004509403315991842,0.003490938660652874,0.005670371664516712,0.008232006549089836,0.010476867218364065,0.0007286785265500704,0.002976379165339335,0.006061278025667802,0.002288474384239353,0.004546768609265298,0.005696981591246808,0.005601047926900156,-0.000840669493042649,0.00826568092649609,-0.0005325922295149274,-0.00035107529139035456,0.008415372363841008,0.007008679412128151,0.0072761221371014,0.009210981233248065,0.004274076806728545,0.011960711179985001
EFA,0.00836056739448772,0.0030572130975262913,0.0009948058833242873,0.003902112711313256,6.966072804818726e-05,0.0077465712512713265,0.00868489691533705,0.012174272869476744,0.008243012656188457,0.008387177316903187,0.009570945817022024,0.009718431100556747,0.008522514137743112,0.013974378220709637,0.004639689111589408,0.01033548909663434,0.009271626284026656,0.00829530022430032,0.00584998691329611,0.005944275948696575,0.006388319088534366,0.009528250057847824,0.012624582361244549,0.0007621554837516819,0.0032668880127606718,0.005913378795784968,0.0028084998785083437,0.0048809440298112254,0.005740354324746544,0.004767939530402468,-0.0021113459125194126,0.007388670110075559,-0.0009502266563582665,-3.056853951660246e-05,0.009051478372256035,0.00772860650801987,0.008426534754027389,0.009296696528000793,0.00606779980270819,0.011665629651316524
EWJ,0.007272908137828059,0.0028928011679533517,1.4308017313498248e-06,0.003499955085582327,8.349987417760301e-05,0.006698382966016116,0.008039260957021298,0.008243012656188457,0.01102525631584579,0.006516603690387949,0.007341263029895205,0.008117149194040354,0.008003425960751008,0.014149020188025932,0.0034607759302825595,0.008131344313925466,0.007875456888585337,0.00781880341967387,0.004514257092119426,0.004590930343240301,0.004866140264912308,0.007711527098107547,0.01153583700367674,0.000775621282478976,0.003166512118774171,0.005502079388091951,0.0025353585728814325,0.004464039119903536,0.005105575399905846,0.0043599294793643184,-0.003174017073184062,0.0049653739403822976,-0.0014805198459115199,-0.0010890430879564614,0.008439815878723913,0.0065428967437759465,0.00723676687191889,0.008193562852099982,0.004815119084685496,0.01075053447302426
EWU,0.006714993965810912,0.0023887629198164864,0.0021747684634222824,0.003164464400004807,3.8929905592429285e-05,0.00597379905761962,0.007302537335422518,0.008387177316903187,0.00651660369038795,0.01040366721097515,0.008197181728337739,0.008462904016251528,0.00546962407215809,0.00952569850293826,0.006480543695264342,0.009201059469125975,0.007984328265383301,0.005569709770174737,0.005611862085082097,0.005112943424398684,0.005960393906755903,0.007886878968136139,0.01011181302222009,0.0005725338545604955,0.0025274660576385735,0.004457890963069473,0.002300737251930145,0.003818234139768057,0.0046901153306132225,0.004182335304859683,0.00042338876290404253,0.006946828665232741,-0.0004474999462076169,0.0003366617032350882,0.007291228468079442,0.005610336984170799,0.00644396561492589,0.008046677722389975,0.005069855640005832,0.009199419989481504
