ticker,prior_return
ACWI,0.016597535757699858
AGG,0.005302355459248195
DBC,0.0026487110821521347
HYG,0.006518372157892038
BIL,0.00012288576097941478
SPY,0.013869470789691741
EEM,0.014016300994140526
EFA,0.014650987911373542
EWJ,0.012558492057078456
EWU,0.01181359637337784
EWL,0.014191029463616518
EPP,0.01490745610162875
XLK,0.016607155044562272
SOXX,0.02535823907475026
XLE,0.007424361642411731
XLB,0.015823497382773947
XLI,0.015257866325444083
XLY,0.015873491558190435
XLP,0.008702158999818308
XLV,0.00932419746822219
XLU,0.01069021322453411
VNQ,0.01596412362797416
XHB,0.020512803810912215
SHY,0.001213223652060284
IEF,0.005395804274580425
TLT,0.010198524666413116
TIP,0.004786839388798879
LQD,0.00810115268637382
EMB,0.009138104052396909
GLD,0.008079144860464982
USO,-0.0012780857124008226
CPER,0.01108726617497761
CORN,-0.0012101186894398956
WEAT,0.0003694719344012954
IWM,0.01595140243545832
MTUM,0.013770188194808883
QUAL,0.014583350053200755
VLUE,0.01572257833412607
USMV,0.009985754775241135
SPHB,0.020411138847028568
